Data,Tema,Leitura obrigatória
14/04/2025 (Seg),Apresentação do curso. O sistema acadêmico brasileiro: estrutura e funcionamento,"Escrever na Universidade (Unid. 1.2); Appolinário & Gil (Parte II, cap. 1)"
17/04/2025 (Qui),O que é ciência e como se faz ciência,"Appolinário & Gil (Parte I, cap. introdutório)"
24/04/2025 (Qui),"Fato, opinião e argumentação na escrita acadêmica",Castro et al. (cap. 'Argumentos de senso comum...')
28/04/2025 (Seg),A linguagem da ciência: características da escrita acadêmica,"Appolinário & Gil (Parte II, cap. 3); Escrever na Universidade (Unid. 3.3)"
05/05/2025 (Seg),Gêneros acadêmicos e o plano de trabalho como gênero institucional,Escrever na Universidade (Unid. 4.1)
08/05/2025 (Qui),Como fazer citação e referência (normas ABNT),Appolinário & Gil (cap. 4 e 5); Castro et al. (cap. de normas técnicas)
12/05/2025 (Seg),Introdução à consciência linguística: problemas da OBL,Problemas selecionados da OBL (material complementar)
15/05/2025 (Qui),Aspectos gramaticais: colocação pronominal e concordância verbal,Castro et al. (cap. 'Estratégia de argumentação')
19/05/2025 (Seg),Leitura inspecional e averiguativa de textos científicos,Castro et al. (cap. 'Leitura inspecional e averiguativa')
22/05/2025 (Qui),Fontes confiáveis e estratégias de busca de informação,Castro et al. (cap. 'Fontes confiáveis')
26/05/2025 (Seg),Fichamento e revisão de literatura,Castro et al. (cap. 'Fichamento acadêmico')
29/05/2025 (Qui),Coesão e coerência textual,Castro et al. (cap. 'Revisão de literatura')
02/06/2025 (Seg),Citações diretas e indiretas; paráfrase e verbos dicendi,Castro et al. (cap. 'Citações diretas e indiretas')
05/06/2025 (Qui),Estratégias de argumentação e estilo na escrita acadêmica,Castro et al. (cap. 'Estratégia de argumentação')
09/06/2025 (Seg),Problemas da OBL e atividades de reflexão linguística,Problemas selecionados da OBL (material complementar)
12/06/2025 (Qui),Aspectos gramaticais: pontuação e acentuação,Castro et al. (cap. 'Pontuação')
16/06/2025 (Seg),Avaliação objetiva da Unidade II,Sem leitura
23/06/2025 (Seg),Etapas do projeto científico e estrutura do plano de trabalho,"Appolinário & Gil (Parte I, cap. introdutório); Escrever na Universidade (Unid. 4.1)"
26/06/2025 (Qui),A justificativa e os objetivos do projeto,"Appolinário & Gil (Parte I, cap. 2)"
30/06/2025 (Seg),"Referencial teórico, metodologia e cronograma",Castro et al. (cap. 'Revisão de literatura')
03/07/2025 (Qui),"Redação clara, concisa e objetiva","Appolinário & Gil (Parte II, cap. 5)"
07/07/2025 (Seg),Revisão e reescrita com base em critérios técnicos,Castro et al. (cap. 'Coesão e coerência textual')
10/07/2025 (Qui),Uso de IA para revisão textual: prompts e práticas,Sem leitura obrigatória; prática com IA
14/07/2025 (Seg),Problemas da OBL e atividades de revisão linguística,Problemas selecionados da OBL (material complementar)
17/07/2025 (Qui),Autoavaliação diagnóstica final,Sem leitura
21/07/2025 (Seg),Orientações finais e entrega do plano de trabalho,Sem leitura
24/07/2025 (Qui),Aula de reposição / revisão,Sem leitura
28/07/2025 (Seg),Aula de encerramento e socialização dos planos de trabalho,Sem leitura
31/07/2025 (Qui),Reserva,Sem leitura
04/08/2025 (Seg),Reserva,Sem leitura
